time,timestamp,Rxx,Rxy,Rxz,Px,Ryx,Ryy,Ryz,Py,Rzx,Rzy,Rzz,Pz,R01,R02,R03,P
0,1681438640,0.999998808,0.00154916,0,-0.863457024,-0.00154916,0.999998808,0,3.416320562,0,0,1,0,0,0,0,1
1.267570019,1681438641,0.999997914,0.002035006,0,-0.781640291,-0.002035006,0.999997914,0,2.371063709,0,0,1,0,0,0,0,1
1.365069866,1681438641,0.999998808,0.001543339,0,-0.58423245,-0.001543339,0.999998808,0,2.594069958,0,0,1,0,0,0,0,1
1.444289923,1681438641,0.999999225,0.001257162,0,-0.577551603,-0.001257162,0.999999225,0,2.977355242,0,0,1,0,0,0,0,1
1.664349794,1681438641,0.999997556,0.002211121,0,-1.525384665,-0.002211121,0.999997556,0,4.315347672,0,0,1,0,0,0,0,1
1.755579948,1681438641,0.999997437,0.002265505,0,-1.561808705,-0.002265505,0.999997437,0,4.347624302,0,0,1,0,0,0,0,1
1.829859972,1681438641,0.99999845,0.001752484,0,-1.367973804,-0.001752484,0.99999845,0,4.503015995,0,0,1,0,0,0,0,1
1.932369947,1681438641,0.999999821,0.000610766,0,-0.860576749,-0.000610766,0.999999821,0,4.392451763,0,0,1,0,0,0,0,1
2.040509939,1681438642,0.999998212,0.001877892,0,-1.981450677,-0.001877892,0.999998212,0,5.682536602,0,0,1,0,0,0,0,1
2.255539894,1681438642,0.999987364,0.005030688,0,-4.361424446,-0.005030688,0.999987364,0,8.089962006,0,0,1,0,0,0,0,1
2.34766984,1681438642,0.999990106,0.004449803,0,-2.492786407,-0.004449803,0.999990106,0,2.197156668,0,0,1,0,0,0,0,1
2.515739918,1681438642,0.99999547,0.00301037,0,-1.369479179,-0.00301037,0.99999547,0,1.933327913,0,0,1,0,0,0,0,1
2.685230017,1681438642,0.999993801,0.003513956,0,-1.653771996,-0.003513956,0.999993801,0,2.600277662,0,0,1,0,0,0,0,1
2.79279995,1681438642,0.999997914,0.002035006,0,-0.781640291,-0.002035006,0.999997914,0,2.371063709,0,0,1,0,0,0,0,1
2.904429913,1681438642,0.999998808,0.001543339,0,-0.58423245,-0.001543339,0.999998808,0,2.594069958,0,0,1,0,0,0,0,1
3.037639856,1681438643,0.999999225,0.001257162,0,-0.577551603,-0.001257162,0.999999225,0,2.977355242,0,0,1,0,0,0,0,1
3.235589981,1681438643,0.999997556,0.002211121,0,-1.525384665,-0.002211121,0.999997556,0,4.315347672,0,0,1,0,0,0,0,1
3.34758997,1681438643,0.999997437,0.002265505,0,-1.561808705,-0.002265505,0.999997437,0,4.347624302,0,0,1,0,0,0,0,1
3.435659885,1681438643,0.99999845,0.001752484,0,-1.367973804,-0.001752484,0.99999845,0,4.503015995,0,0,1,0,0,0,0,1
3.520349979,1681438643,0.999999821,0.000610766,0,-0.860576749,-0.000610766,0.999999821,0,4.392451763,0,0,1,0,0,0,0,1
3.633620024,1681438643,0.999998212,0.001877892,0,-1.981450677,-0.001877892,0.999998212,0,5.682536602,0,0,1,0,0,0,0,1
3.8005898,1681438643,0.999987364,0.005030688,0,-4.361424446,-0.005030688,0.999987364,0,8.089962006,0,0,1,0,0,0,0,1
3.904609919,1681438643,0.999990106,0.004449803,0,-2.492786407,-0.004449803,0.999990106,0,2.197156668,0,0,1,0,0,0,0,1
3.995539904,1681438644,0.999990106,0.004446617,0,-2.491972446,-0.004446617,0.999990106,0,2.194091558,0,0,1,0,0,0,0,1
4.07047987,1681438644,0.99999547,0.00301037,0,-1.369479179,-0.00301037,0.99999547,0,1.933327913,0,0,1,0,0,0,0,1
4.167569876,1681438644,0.999995351,0.003057515,0,-1.39695859,-0.003057515,0.999995351,0,1.95492661,0,0,1,0,0,0,0,1
4.356379986,1681438644,0.999997914,0.002035006,0,-0.781640291,-0.002035006,0.999997914,0,2.371063709,0,0,1,0,0,0,0,1
4.44825983,1681438644,0.999998808,0.001543339,0,-0.58423245,-0.001543339,0.999998808,0,2.594069958,0,0,1,0,0,0,0,1
4.520679951,1681438644,0.999999225,0.001257162,0,-0.577551603,-0.001257162,0.999999225,0,2.977355242,0,0,1,0,0,0,0,1
4.757279873,1681438644,0.999997556,0.002211121,0,-1.525384665,-0.002211121,0.999997556,0,4.315347672,0,0,1,0,0,0,0,1
4.868499994,1681438644,0.999997437,0.002265505,0,-1.561808705,-0.002265505,0.999997437,0,4.347624302,0,0,1,0,0,0,0,1
4.960169792,1681438644,0.99999845,0.001752484,0,-1.367973804,-0.001752484,0.99999845,0,4.503015995,0,0,1,0,0,0,0,1
5.034359932,1681438645,0.999999821,0.000610766,0,-0.860576749,-0.000610766,0.999999821,0,4.392451763,0,0,1,0,0,0,0,1
5.251539946,1681438645,0.999996305,0.002713992,0,-2.711688757,-0.002713992,0.999996305,0,6.623204708,0,0,1,0,0,0,0,1
5.339030027,1681438645,0.999987364,0.005030688,0,-4.361424446,-0.005030688,0.999987364,0,8.089962006,0,0,1,0,0,0,0,1
5.416639805,1681438645,0.999990106,0.004449803,0,-2.492786407,-0.004449803,0.999990106,0,2.197156668,0,0,1,0,0,0,0,1
5.514139891,1681438645,0.999990106,0.004446617,0,-2.491972446,-0.004446617,0.999990106,0,2.194091558,0,0,1,0,0,0,0,1
5.722309828,1681438645,0.999995351,0.003057515,0,-1.39695859,-0.003057515,0.999995351,0,1.95492661,0,0,1,0,0,0,0,1
5.789629936,1681438645,0.999993801,0.003513956,0,-1.653771996,-0.003513956,0.999993801,0,2.600277662,0,0,1,0,0,0,0,1
5.892619848,1681438645,0.999997914,0.002035006,0,-0.781640291,-0.002035006,0.999997914,0,2.371063709,0,0,1,0,0,0,0,1
6.010900021,1681438646,0.999998808,0.001543339,0,-0.58423245,-0.001543339,0.999998808,0,2.594069958,0,0,1,0,0,0,0,1
6.106969833,1681438646,0.999999225,0.001257162,0,-0.577551603,-0.001257162,0.999999225,0,2.977355242,0,0,1,0,0,0,0,1
6.212669849,1681438646,0.999998808,0.00154916,0,-0.863457024,-0.00154916,0.999998808,0,3.416320562,0,0,1,0,0,0,0,1
6.335989952,1681438646,0.999997556,0.002211121,0,-1.525384665,-0.002211121,0.999997556,0,4.315347672,0,0,1,0,0,0,0,1
6.526249886,1681438646,0.99999845,0.001752484,0,-1.367973804,-0.001752484,0.99999845,0,4.503015995,0,0,1,0,0,0,0,1
6.690299988,1681438646,0.999998212,0.001877892,0,-1.981450677,-0.001877892,0.999998212,0,5.682536602,0,0,1,0,0,0,0,1
6.810199976,1681438646,0.999996305,0.002713992,0,-2.711688757,-0.002713992,0.999996305,0,6.623204708,0,0,1,0,0,0,0,1
7.022709846,1681438647,0.999990106,0.004449803,0,-2.492786407,-0.004449803,0.999990106,0,2.197156668,0,0,1,0,0,0,0,1
7.089679956,1681438647,0.999990106,0.004446617,0,-2.491972446,-0.004446617,0.999990106,0,2.194091558,0,0,1,0,0,0,0,1
7.309399843,1681438647,0.999995351,0.003057515,0,-1.39695859,-0.003057515,0.999995351,0,1.95492661,0,0,1,0,0,0,0,1
7.399919987,1681438647,0.999993801,0.003513956,0,-1.653771996,-0.003513956,0.999993801,0,2.600277662,0,0,1,0,0,0,0,1
7.480029821,1681438647,0.999997914,0.002035006,0,-0.781640291,-0.002035006,0.999997914,0,2.371063709,0,0,1,0,0,0,0,1
7.661409855,1681438647,0.999999225,0.001257162,0,-0.577551603,-0.001257162,0.999999225,0,2.977355242,0,0,1,0,0,0,0,1
7.747419834,1681438647,0.999998808,0.00154916,0,-0.863457024,-0.00154916,0.999998808,0,3.416320562,0,0,1,0,0,0,0,1
7.824100018,1681438647,0.999997556,0.002211121,0,-1.525384665,-0.002211121,0.999997556,0,4.315347672,0,0,1,0,0,0,0,1
7.933650017,1681438647,0.999997437,0.002265505,0,-1.561808705,-0.002265505,0.999997437,0,4.347624302,0,0,1,0,0,0,0,1
8.046569824,1681438648,0.99999845,0.001752484,0,-1.367973804,-0.001752484,0.99999845,0,4.503015995,0,0,1,0,0,0,0,1
8.140269995,1681438648,0.999999821,0.000610766,0,-0.860576749,-0.000610766,0.999999821,0,4.392451763,0,0,1,0,0,0,0,1
8.33818984,1681438648,0.999996305,0.002713992,0,-2.711688757,-0.002713992,0.999996305,0,6.623204708,0,0,1,0,0,0,0,1
8.431609869,1681438648,0.999987364,0.005030688,0,-4.361424446,-0.005030688,0.999987364,0,8.089962006,0,0,1,0,0,0,0,1
8.615099907,1681438648,0.999990106,0.004446617,0,-2.491972446,-0.004446617,0.999990106,0,2.194091558,0,0,1,0,0,0,0,1
8.719549894,1681438648,0.99999547,0.00301037,0,-1.369479179,-0.00301037,0.99999547,0,1.933327913,0,0,1,0,0,0,0,1
8.843159914,1681438648,0.999995351,0.003057515,0,-1.39695859,-0.003057515,0.999995351,0,1.95492661,0,0,1,0,0,0,0,1
9.060719967,1681438649,0.999997914,0.002035006,0,-0.781640291,-0.002035006,0.999997914,0,2.371063709,0,0,1,0,0,0,0,1
9.148589849,1681438649,0.999998808,0.001543339,0,-0.58423245,-0.001543339,0.999998808,0,2.594069958,0,0,1,0,0,0,0,1
9.225819826,1681438649,0.999999225,0.001257162,0,-0.577551603,-0.001257162,0.999999225,0,2.977355242,0,0,1,0,0,0,0,1
9.431049824,1681438649,0.999997556,0.002211121,0,-1.525384665,-0.002211121,0.999997556,0,4.315347672,0,0,1,0,0,0,0,1
9.522300005,1681438649,0.999997437,0.002265505,0,-1.561808705,-0.002265505,0.999997437,0,4.347624302,0,0,1,0,0,0,0,1
9.627460003,1681438649,0.99999845,0.001752484,0,-1.367973804,-0.001752484,0.99999845,0,4.503015995,0,0,1,0,0,0,0,1
9.70991993,1681438649,0.999999821,0.000610766,0,-0.860576749,-0.000610766,0.999999821,0,4.392451763,0,0,1,0,0,0,0,1
9.799160004,1681438649,0.999998212,0.001877892,0,-1.981450677,-0.001877892,0.999998212,0,5.682536602,0,0,1,0,0,0,0,1
10.00757003,1681438650,0.999987364,0.005030688,0,-4.361424446,-0.005030688,0.999987364,0,8.089962006,0,0,1,0,0,0,0,1
10.08199,1681438650,0.999990106,0.004449803,0,-2.492786407,-0.004449803,0.999990106,0,2.197156668,0,0,1,0,0,0,0,1
10.19069982,1681438650,0.999990106,0.004446617,0,-2.491972446,-0.004446617,0.999990106,0,2.194091558,0,0,1,0,0,0,0,1
10.29140997,1681438650,0.99999547,0.00301037,0,-1.369479179,-0.00301037,0.99999547,0,1.933327913,0,0,1,0,0,0,0,1
10.39162993,1681438650,0.999995351,0.003057515,0,-1.39695859,-0.003057515,0.999995351,0,1.95492661,0,0,1,0,0,0,0,1
10.60355997,1681438650,0.999997914,0.002035006,0,-0.781640291,-0.002035006,0.999997914,0,2.371063709,0,0,1,0,0,0,0,1
10.68769002,1681438650,0.999998808,0.001543339,0,-0.58423245,-0.001543339,0.999998808,0,2.594069958,0,0,1,0,0,0,0,1
10.76797986,1681438650,0.999999225,0.001257162,0,-0.577551603,-0.001257162,0.999999225,0,2.977355242,0,0,1,0,0,0,0,1
10.87697983,1681438650,0.999998808,0.00154916,0,-0.863457024,-0.00154916,0.999998808,0,3.416320562,0,0,1,0,0,0,0,1
11.07167983,1681438651,0.999997437,0.002265505,0,-1.561808705,-0.002265505,0.999997437,0,4.347624302,0,0,1,0,0,0,0,1
11.15789986,1681438651,0.99999845,0.001752484,0,-1.367973804,-0.001752484,0.99999845,0,4.503015995,0,0,1,0,0,0,0,1
11.23492002,1681438651,0.999999821,0.000610766,0,-0.860576749,-0.000610766,0.999999821,0,4.392451763,0,0,1,0,0,0,0,1
11.33144999,1681438651,0.999998212,0.001877892,0,-1.981450677,-0.001877892,0.999998212,0,5.682536602,0,0,1,0,0,0,0,1
11.52207994,1681438651,0.999987364,0.005030688,0,-4.361424446,-0.005030688,0.999987364,0,8.089962006,0,0,1,0,0,0,0,1
11.62360001,1681438651,0.999990106,0.004449803,0,-2.492786407,-0.004449803,0.999990106,0,2.197156668,0,0,1,0,0,0,0,1
11.7251699,1681438651,0.999990106,0.004446617,0,-2.491972446,-0.004446617,0.999990106,0,2.194091558,0,0,1,0,0,0,0,1
11.80287981,1681438651,0.99999547,0.00301037,0,-1.369479179,-0.00301037,0.99999547,0,1.933327913,0,0,1,0,0,0,0,1
11.9103899,1681438651,0.999995351,0.003057515,0,-1.39695859,-0.003057515,0.999995351,0,1.95492661,0,0,1,0,0,0,0,1
12.12403989,1681438652,0.999997914,0.002035006,0,-0.781640291,-0.002035006,0.999997914,0,2.371063709,0,0,1,0,0,0,0,1
12.2185998,1681438652,0.999998808,0.001543339,0,-0.58423245,-0.001543339,0.999998808,0,2.594069958,0,0,1,0,0,0,0,1
12.29569983,1681438652,0.999999225,0.001257162,0,-0.577551603,-0.001257162,0.999999225,0,2.977355242,0,0,1,0,0,0,0,1
12.39905,1681438652,0.999998808,0.00154916,0,-0.863457024,-0.00154916,0.999998808,0,3.416320562,0,0,1,0,0,0,0,1
12.50602984,1681438652,0.999997556,0.002211121,0,-1.525384665,-0.002211121,0.999997556,0,4.315347672,0,0,1,0,0,0,0,1
12.70027995,1681438652,0.99999845,0.001752484,0,-1.367973804,-0.001752484,0.99999845,0,4.503015995,0,0,1,0,0,0,0,1
12.78850985,1681438652,0.999999821,0.000610766,0,-0.860576749,-0.000610766,0.999999821,0,4.392451763,0,0,1,0,0,0,0,1
12.87104988,1681438652,0.999998212,0.001877892,0,-1.981450677,-0.001877892,0.999998212,0,5.682536602,0,0,1,0,0,0,0,1
12.9704299,1681438652,0.999996305,0.002713992,0,-2.711688757,-0.002713992,0.999996305,0,6.623204708,0,0,1,0,0,0,0,1
13.08664989,1681438653,0.999987364,0.005030688,0,-4.361424446,-0.005030688,0.999987364,0,8.089962006,0,0,1,0,0,0,0,1
13.30422997,1681438653,0.999990106,0.004446617,0,-2.491972446,-0.004446617,0.999990106,0,2.194091558,0,0,1,0,0,0,0,1
13.38865995,1681438653,0.99999547,0.00301037,0,-1.369479179,-0.00301037,0.99999547,0,1.933327913,0,0,1,0,0,0,0,1
13.47487998,1681438653,0.999995351,0.003057515,0,-1.39695859,-0.003057515,0.999995351,0,1.95492661,0,0,1,0,0,0,0,1
13.56007981,1681438653,0.999993801,0.003513956,0,-1.653771996,-0.003513956,0.999993801,0,2.600277662,0,0,1,0,0,0,0,1
13.77975988,1681438653,0.999998808,0.001543339,0,-0.58423245,-0.001543339,0.999998808,0,2.594069958,0,0,1,0,0,0,0,1
13.8460598,1681438653,0.999999225,0.001257162,0,-0.577551603,-0.001257162,0.999999225,0,2.977355242,0,0,1,0,0,0,0,1
13.94331002,1681438653,0.999998808,0.00154916,0,-0.863457024,-0.00154916,0.999998808,0,3.416320562,0,0,1,0,0,0,0,1
14.06490993,1681438654,0.999997556,0.002211121,0,-1.525384665,-0.002211121,0.999997556,0,4.315347672,0,0,1,0,0,0,0,1
14.26840997,1681438654,0.99999845,0.001752484,0,-1.367973804,-0.001752484,0.99999845,0,4.503015995,0,0,1,0,0,0,0,1
14.35316992,1681438654,0.999999821,0.000610766,0,-0.860576749,-0.000610766,0.999999821,0,4.392451763,0,0,1,0,0,0,0,1
14.42725992,1681438654,0.999998212,0.001877892,0,-1.981450677,-0.001877892,0.999998212,0,5.682536602,0,0,1,0,0,0,0,1
14.51962996,1681438654,0.999996305,0.002713992,0,-2.711688757,-0.002713992,0.999996305,0,6.623204708,0,0,1,0,0,0,0,1
14.63794994,1681438654,0.999987364,0.005030688,0,-4.361424446,-0.005030688,0.999987364,0,8.089962006,0,0,1,0,0,0,0,1
14.72893,1681438654,0.999990106,0.004449803,0,-2.492786407,-0.004449803,0.999990106,0,2.197156668,0,0,1,0,0,0,0,1
14.83676982,1681438654,0.999990106,0.004446617,0,-2.491972446,-0.004446617,0.999990106,0,2.194091558,0,0,1,0,0,0,0,1
15.03964996,1681438655,0.999995351,0.003057515,0,-1.39695859,-0.003057515,0.999995351,0,1.95492661,0,0,1,0,0,0,0,1
15.1323998,1681438655,0.999993801,0.003513956,0,-1.653771996,-0.003513956,0.999993801,0,2.600277662,0,0,1,0,0,0,0,1
15.21153998,1681438655,0.999997914,0.002035006,0,-0.781640291,-0.002035006,0.999997914,0,2.371063709,0,0,1,0,0,0,0,1
15.31842995,1681438655,0.999998808,0.001543339,0,-0.58423245,-0.001543339,0.999998808,0,2.594069958,0,0,1,0,0,0,0,1
15.50773001,1681438655,0.999998808,0.00154916,0,-0.863457024,-0.00154916,0.999998808,0,3.416320562,0,0,1,0,0,0,0,1
15.58780003,1681438655,0.999997556,0.002211121,0,-1.525384665,-0.002211121,0.999997556,0,4.315347672,0,0,1,0,0,0,0,1
15.80234981,1681438655,0.99999845,0.001752484,0,-1.367973804,-0.001752484,0.99999845,0,4.503015995,0,0,1,0,0,0,0,1
16.02905989,1681438656,0.999998212,0.001877892,0,-1.981450677,-0.001877892,0.999998212,0,5.682536602,0,0,1,0,0,0,0,1
16.12364984,1681438656,0.999996305,0.002713992,0,-2.711688757,-0.002713992,0.999996305,0,6.623204708,0,0,1,0,0,0,0,1
16.20640993,1681438656,0.999987364,0.005030688,0,-4.361424446,-0.005030688,0.999987364,0,8.089962006,0,0,1,0,0,0,0,1
16.29080987,1681438656,0.999990106,0.004449803,0,-2.492786407,-0.004449803,0.999990106,0,2.197156668,0,0,1,0,0,0,0,1
16.39731002,1681438656,0.999990106,0.004446617,0,-2.491972446,-0.004446617,0.999990106,0,2.194091558,0,0,1,0,0,0,0,1
16.49754,1681438656,0.99999547,0.00301037,0,-1.369479179,-0.00301037,0.99999547,0,1.933327913,0,0,1,0,0,0,0,1
16.60558987,1681438656,0.999995351,0.003057515,0,-1.39695859,-0.003057515,0.999995351,0,1.95492661,0,0,1,0,0,0,0,1
16.79858994,1681438656,0.999997914,0.002035006,0,-0.781640291,-0.002035006,0.999997914,0,2.371063709,0,0,1,0,0,0,0,1
16.89157987,1681438656,0.999998808,0.001543339,0,-0.58423245,-0.001543339,0.999998808,0,2.594069958,0,0,1,0,0,0,0,1
16.99855995,1681438657,0.999999225,0.001257162,0,-0.577551603,-0.001257162,0.999999225,0,2.977355242,0,0,1,0,0,0,0,1
17.08014989,1681438657,0.999998808,0.00154916,0,-0.863457024,-0.00154916,0.999998808,0,3.416320562,0,0,1,0,0,0,0,1
17.17891979,1681438657,0.999997556,0.002211121,0,-1.525384665,-0.002211121,0.999997556,0,4.315347672,0,0,1,0,0,0,0,1
17.37615991,1681438657,0.99999845,0.001752484,0,-1.367973804,-0.001752484,0.99999845,0,4.503015995,0,0,1,0,0,0,0,1
17.47011995,1681438657,0.999999821,0.000610766,0,-0.860576749,-0.000610766,0.999999821,0,4.392451763,0,0,1,0,0,0,0,1
17.57938981,1681438657,0.999998212,0.001877892,0,-1.981450677,-0.001877892,0.999998212,0,5.682536602,0,0,1,0,0,0,0,1
17.65387988,1681438657,0.999996305,0.002713992,0,-2.711688757,-0.002713992,0.999996305,0,6.623204708,0,0,1,0,0,0,0,1
17.84914994,1681438657,0.999990106,0.004449803,0,-2.492786407,-0.004449803,0.999990106,0,2.197156668,0,0,1,0,0,0,0,1
17.95340991,1681438657,0.999990106,0.004446617,0,-2.491972446,-0.004446617,0.999990106,0,2.194091558,0,0,1,0,0,0,0,1
18.02854991,1681438658,0.99999547,0.00301037,0,-1.369479179,-0.00301037,0.99999547,0,1.933327913,0,0,1,0,0,0,0,1
18.12082982,1681438658,0.999995351,0.003057515,0,-1.39695859,-0.003057515,0.999995351,0,1.95492661,0,0,1,0,0,0,0,1
18.23205996,1681438658,0.999993801,0.003513956,0,-1.653771996,-0.003513956,0.999993801,0,2.600277662,0,0,1,0,0,0,0,1
18.45875001,1681438658,0.999998808,0.001543339,0,-0.58423245,-0.001543339,0.999998808,0,2.594069958,0,0,1,0,0,0,0,1
18.55345988,1681438658,0.999999225,0.001257162,0,-0.577551603,-0.001257162,0.999999225,0,2.977355242,0,0,1,0,0,0,0,1
18.72108984,1681438658,0.999997556,0.002211121,0,-1.525384665,-0.002211121,0.999997556,0,4.315347672,0,0,1,0,0,0,0,1
